Budew,2,Pokemon,PRE,4
Lumineon V,2,Pokemon,BRS,40
Latias ex,1,Pokemon,SSP,76
Munkidori,1,Pokemon,PRE,44
Klawf,1,Pokemon,PAR,105
Brute Bonnet,2,Pokemon,PAR,123
Fezandipiti ex,1,Pokemon,SFA,38
Pecharunt,1,Pokemon,SVP,129
Radiant Hisuian Sneasler,1,Pokemon,LOR,123
Oranguru V,1,Pokemon,ASR,179
Squawkabilly ex,1,Pokemon,PAL,169
Terapagos ex,2,Pokemon,SCR,128
Hisuian Heavy Ball,2,Item,,
Nest Ball,4,Item,,
Night Stretcher,2,Item,,
Precious Trolley - ACESPEC,1,Item,,
Switch Cart,4,Item,,
Ultra Ball,3,Item,,
Area Zero Underdepths,3,Stadium,,
Arven,2,Supporter,,
Boss's Orders,3,Supporter,,
Carmine,1,Supporter,,
Colress's Tenacity,1,Supporter,,
Iono,2,Supporter,,
Kieran,1,Supporter,,
Professor's Research,2,Supporter,,
Ancient Booster Energy Capsule,3,Tool,,
Binding Mochi,3,Tool,,
Forest Seal Stone,2,Tool,,
Double Turbo Energy,4,Energy,,
Basic Darkness Energy,1,Energy,,